normalized_name	concept_id	display_name
abdominal abscess (disorder)	75100008	Abdominal abscess (disorder)
abdominal aortic aneurysm (disorder)	233985008	Abdominal aortic aneurysm (disorder)
abdominal aortic aneurysm without rupture (disorder)	75878002	Abdominal aortic aneurysm without rupture (disorder)
abdominal bloating (finding)	116289008	Abdominal bloating (finding)
abdominal bruit (finding)	249590007	Abdominal bruit (finding)
abdominal colic (finding)	9991008	Abdominal colic (finding)
abdominal discomfort (finding)	43364001	Abdominal discomfort (finding)
abdominal hysterectomy (procedure)	116141005	Abdominal hysterectomy (procedure)
abdominal mass (finding)	271860004	Abdominal mass (finding)
abdominal pain (finding)	21522001	Abdominal pain (finding)
abdominal pain in pregnancy (finding)	309737007	Abdominal pain in pregnancy (finding)
abdominal pregnancy (disorder)	82661006	Abdominal pregnancy (disorder)
abdominal wall pain (finding)	162042000	Abdominal wall pain (finding)
abdominoplasty (procedure)	177250006	Abdominoplasty (procedure)
abducens nerve disorder (disorder)	398925009	Abducens nerve disorder (disorder)
abnormal auditory perception (disorder)	60331006	Abnormal auditory perception (disorder)
abnormal biochemical finding on antenatal screening of mother (finding)	199734003	Abnormal biochemical finding on antenatal screening of mother (finding)
abnormal cervical papanicolaou smear (finding)	439888000	Abnormal cervical Papanicolaou smear (finding)
abnormal cervical papanicolaou smear with human papillomavirus deoxyribonucleic acid detected (finding)	441667007	Abnormal cervical Papanicolaou smear with human papillomavirus deoxyribonucleic acid detected (finding)
abnormal cervical smear (finding)	309081009	Abnormal cervical smear (finding)
abnormal defecation (finding)	179950008	Abnormal defecation (finding)
abnormal deglutition (finding)	47717004	Abnormal deglutition (finding)
abnormal female sexual function (finding)	28154007	Abnormal female sexual function (finding)
abnormal finding on antenatal screening of mother (finding)	199732004	Abnormal finding on antenatal screening of mother (finding)
abnormal findings on diagnostic imaging of lung (finding)	274533004	Abnormal findings on diagnostic imaging of lung (finding)
abnormal gait (finding)	22325002	Abnormal gait (finding)
abnormal liver function (finding)	75183008	Abnormal liver function (finding)
abnormal male sexual function (finding)	5413009	Abnormal male sexual function (finding)
abnormal posture (finding)	43029002	Abnormal posture (finding)
abnormal renal function (finding)	39539005	Abnormal renal function (finding)
abnormal retraction of eyelid (disorder)	43854003	Abnormal retraction of eyelid (disorder)
abnormal sexual function (finding)	56925008	Abnormal sexual function (finding)
abnormal sputum (finding)	274708000	Abnormal sputum (finding)
abnormal urine (finding)	102866000	Abnormal urine (finding)
abnormal uterine bleeding (disorder)	44991000119100	Abnormal uterine bleeding (disorder)
abnormal vaginal bleeding (finding)	301822002	Abnormal vaginal bleeding (finding)
abnormal vision (finding)	7973008	Abnormal vision (finding)
abnormal voice (finding)	38160000	Abnormal voice (finding)
abnormal weight gain (finding)	161833006	Abnormal weight gain (finding)
abnormal weight loss (finding)	267024001	Abnormal weight loss (finding)
abrasion (disorder)	399963005	Abrasion (disorder)
abrasion of face (disorder)	210987008	Abrasion of face (disorder)
abrasion of skin of lower limb (disorder)	283062009	Abrasion of skin of lower limb (disorder)
abscess (disorder)	128477000	Abscess (disorder)
abscess of axilla (disorder)	13802001	Abscess of axilla (disorder)
abscess of back (disorder)	309083007	Abscess of back (disorder)
abscess of bartholin's gland (disorder)	67624004	Abscess of Bartholin's gland (disorder)
abscess of breast (disorder)	28432003	Abscess of breast (disorder)
abscess of buttock (disorder)	64576003	Abscess of buttock (disorder)
abscess of colon co-occurrent and due to diverticular disease of colon (disorder)	235774002	Abscess of colon co-occurrent and due to diverticular disease of colon (disorder)
abscess of face (disorder)	200751004	Abscess of face (disorder)
abscess of foot (disorder)	301706005	Abscess of foot (disorder)
abscess of liver (disorder)	27916005	Abscess of liver (disorder)
abscess of lung (disorder)	73452002	Abscess of lung (disorder)
abscess of neck (disorder)	6284004	Abscess of neck (disorder)
abscess of scrotum (disorder)	27717006	Abscess of scrotum (disorder)
abscess of skin and/or subcutaneous tissue (disorder)	31928004	Abscess of skin and/or subcutaneous tissue (disorder)
abscess of skin and/or subcutaneous tissue caused by ingrown hair (disorder)	866000008	Abscess of skin and/or subcutaneous tissue caused by ingrown hair (disorder)
abscess of tonsil (disorder)	33261009	Abscess of tonsil (disorder)
abscess of vulva (disorder)	69430001	Abscess of vulva (disorder)
absence of breast (finding)	248802009	Absence of breast (finding)
absence seizure (finding)	79631006	Absence seizure (finding)
absent renal function (disorder)	112066009	Absent renal function (disorder)
academic underachievement (finding)	105419003	Academic underachievement (finding)
acanthosis nigricans (disorder)	402599005	Acanthosis nigricans (disorder)
accelerated coronary artery disease in transplanted heart (disorder)	233844002	Accelerated coronary artery disease in transplanted heart (disorder)
accident caused by electric current (event)	218164000	Accident caused by electric current (event)
accident caused by glass edge (event)	218058005	Accident caused by glass edge (event)
accident caused by hot liquid and vapor, including steam (event)	218130004	Accident caused by hot liquid and vapor, including steam (event)
accident caused by machinery (event)	269716005	Accident caused by machinery (event)
accident due to contact with hot or corrosive substance (event)	242489002	Accident due to contact with hot or corrosive substance (event)
accident due to exposure to weather conditions (event)	242575009	Accident due to exposure to weather conditions (event)
accident while engaged in household activity (event)	79573009	Accident while engaged in household activity (event)
accident while engaged in work-related activity (event)	17542004	Accident while engaged in work-related activity (event)
