retired_concept_id	active_concept_id	association
10010002	54084005	SAME_AS
1003409002	1162462009	REPLACED_BY
1003844005	59600000	SAME_AS
1003938005	68724006	REPLACED_BY
10100008	370504007	SAME_AS
101000161109	580941000124109	REPLACED_BY
1010443001	609506003	REPLACED_BY
1010444007	609507007	REPLACED_BY
1010446009	609506003	REPLACED_BY
1010447000	609507007	REPLACED_BY
1010625007	697913004	SAME_AS
1010638004	237918004	SAME_AS
10121008	210398003	REPLACED_BY
101351000119105	1293244004	SAME_AS
10156007	22564003	REPLACED_BY
10181000119102	735935009	SAME_AS
1022006	186289000	SAME_AS
102450007	789675009	REPLACED_BY
102455002	716864001	REPLACED_BY
10246004	86900005	SAME_AS
102471002	266721009	SAME_AS
10251005	205395006	SAME_AS
102552001	102549009	SAME_AS
102571004	274743004	SAME_AS
102582007	129894004	REPLACED_BY
102585009	271640005	SAME_AS
102597005	394643003	SAME_AS
102602003	91019004	SAME_AS
102604002	90673000	SAME_AS
102611003	235719002	SAME_AS
102620007	235595009	SAME_AS
10278007	275446004	SAME_AS
102833004	404220000	SAME_AS
102839000	167338002	SAME_AS
102842006	167337007	SAME_AS
102863008	117483003	SAME_AS
102873005	169488004	SAME_AS
102909009	247917007	SAME_AS
102926003	225633003	SAME_AS
102931001	247818001	SAME_AS
103006007	162300006	REPLACED_BY
10306008	203164005	SAME_AS
1031006	210386008	REPLACED_BY
10311000175107	1176988004	SAME_AS
103253004	419326002	SAME_AS
103270007	13045009	SAME_AS
103280006	162403009	SAME_AS
103285001	103284002	SAME_AS
103406000	1003682004	REPLACED_BY
103409007	1003682004	REPLACED_BY
103412005	1003682004	REPLACED_BY
103415007	737378009	REPLACED_BY
103416008	737379001	REPLACED_BY
103417004	737380003	REPLACED_BY
103418009	737381004	REPLACED_BY
103642003	733529001	REPLACED_BY
10366006	210483004	REPLACED_BY
10386005	737221003	SAME_AS
10400001	210220001	SAME_AS
10405006	204021005	SAME_AS
10426006	202748002	SAME_AS
10452000	386762009	SAME_AS
104521000119108	427180006	SAME_AS
10497009	298087003	REPLACED_BY
10518000	699189004	SAME_AS
10524006	192788009	SAME_AS
105426003	160881008	SAME_AS
105448009	266966009	SAME_AS
105450001	266890009	REPLACED_BY
105451002	429961000	REPLACED_BY
105452009	160303001	REPLACED_BY
105453004	160328009	REPLACED_BY
105454005	1254722009	REPLACED_BY
105480006	1296859006	REPLACED_BY
105500006	160685001	SAME_AS
105533001	160706007	SAME_AS
105548007	428495004	SAME_AS
10557008	1177081002	SAME_AS
105621002	22564003	SAME_AS
105623004	7895008	REPLACED_BY
105627003	302231008	SAME_AS
105636004	34014006	REPLACED_BY
105656003	71572001	REPLACED_BY
105660000	26089000	SAME_AS
105670003	30369007	SAME_AS
105677000	86133004	SAME_AS
105685009	781507007	REPLACED_BY
105687001	781463005	REPLACED_BY
105693009	84706005	SAME_AS
105712008	781338009	REPLACED_BY
105964007	238714008	SAME_AS
106007006	362972006	REPLACED_BY
10603009	26228000	SAME_AS
106069006	11849007	SAME_AS
10625911000119108	1264307003	REPLACED_BY
10625951000119109	1264306007	REPLACED_BY
10628791000119105	762694009	REPLACED_BY
10629031000119100	238405002	SAME_AS
10629151000119105	195725001	SAME_AS
10633111000119105	1297309003	SAME_AS
10633151000119106	1297310008	SAME_AS
10662431000119107	830071006	SAME_AS
10662551000119100	830072004	SAME_AS
10680711000119109	1252732001	REPLACED_BY
10684271000119100	1252733006	REPLACED_BY
10692221000119107	1252736003	REPLACED_BY
10692261000119102	1252735004	REPLACED_BY
10720004	5294002	SAME_AS
10729003	50043002	REPLACED_BY
1073161000119109	1366562006	SAME_AS
1073171000119103	1366561004	SAME_AS
1074009	703232003	SAME_AS
10742003	206413008	REPLACED_BY
10749691000119103	200077002	SAME_AS
1075111000119105	15934261000119108	SAME_AS
1075121000119103	15934221000119103	SAME_AS
1075191000119101	299418001	REPLACED_BY
1075241000119101	299418001	REPLACED_BY
10755161000119102	1254987007	REPLACED_BY
1075531000119108	774140000	SAME_AS
1075541000119104	774141001	SAME_AS
1075641000119103	774136009	SAME_AS
1075661000119104	774137000	SAME_AS
10764007	208748005	SAME_AS
107751000119102	732201008	REPLACED_BY
107781000119109	722680009	SAME_AS
1077951000119100	774135008	SAME_AS
10783000	84002002	REPLACED_BY
10800005	68761002	SAME_AS
1080091000119100	1306552008	REPLACED_BY
1080101000119105	1306575001	REPLACED_BY
1080111000119108	1306557002	REPLACED_BY
1080121000119101	1306580005	REPLACED_BY
1080131000119103	1306574002	REPLACED_BY
1080151000119109	1306571005	REPLACED_BY
1080161000119106	1306567007	REPLACED_BY
1080171000119100	1306554009	REPLACED_BY
1080181000119102	1306576000	REPLACED_BY
1080191000119104	1306558007	REPLACED_BY
1080201000119101	1306579007	REPLACED_BY
1080211000119103	1306573008	REPLACED_BY
1080231000119108	1306570006	REPLACED_BY
1080241000119104	1306566003	REPLACED_BY
1080261000119100	1306565004	REPLACED_BY
1080341000119105	1306564000	REPLACED_BY
1080411000119102	1303724008	SAME_AS
1080421000119109	1303723002	SAME_AS
1081551000119106	1306514007	REPLACED_BY
1081561000119108	1306513001	REPLACED_BY
10822771000119101	55501000087106	SAME_AS
1082371000119104	710007003	SAME_AS
10832661000119101	55491000087103	SAME_AS
10835571000119102	1177197005	REPLACED_BY
10837861000119103	1354672001	SAME_AS
10838341000119106	560871000124109	REPLACED_BY
1084291000119102	1083331000119106	SAME_AS
108431000119104	398158001	REPLACED_BY
1085471000119103	10491000119106	REPLACED_BY
10866001	56661000	REPLACED_BY
10868000	298089000	REPLACED_BY
1087271000119105	196884002	SAME_AS
10877007	1335873005	REPLACED_BY
108791000119108	1003605004	REPLACED_BY
1088761000119108	774119001	SAME_AS
1088891000119106	473424007	SAME_AS
1089321000119106	1010233001	SAME_AS
1089361000119101	1088461000119102	SAME_AS
1089661000119108	1344896004	SAME_AS
10897571000119103	237332009	SAME_AS
1089991000119109	1197527000	REPLACED_BY
10905004	298095004	REPLACED_BY
1091371000119107	774120007	SAME_AS
1091501000119106	473423001	SAME_AS
1091931000119105	1010234007	SAME_AS
1091971000119108	1091071000119109	SAME_AS
1092271000119106	1344897008	SAME_AS
10923561000119103	10933161000119109	SAME_AS
10923601000119103	10933201000119104	SAME_AS
109256003	1197521004	REPLACED_BY
1092581000119107	449505005	SAME_AS
1092611000119100	194394004	SAME_AS
1092631000119105	449504009	SAME_AS
1092641000119101	448419003	SAME_AS
109301001	1339014004	REPLACED_BY
109356001	372087000	SAME_AS
109357005	372087000	REPLACED_BY
109358000	363346000	REPLACED_BY
109373004	254645002	SAME_AS
109387004	188029000	SAME_AS
109427000	253568009	SAME_AS
109465007	109487003	SAME_AS
109503004	235087000	SAME_AS
109535004	1172951004	SAME_AS
109539005	57650002	SAME_AS
109563002	15733007	REPLACED_BY
109565009	109564008	SAME_AS
109567001	95249000	REPLACED_BY
109587000	52994003	SAME_AS
109589002	57650002	SAME_AS
109605000	718053009	SAME_AS
109616007	86276007	SAME_AS
109619000	89013002	SAME_AS
109642007	109678002	REPLACED_BY
109643002	109678002	SAME_AS
109659002	298375002	SAME_AS
109670009	210366009	REPLACED_BY
109673006	37320007	SAME_AS
109767003	28826002	SAME_AS
109815009	72438008	SAME_AS
10981821000119103	1288041004	REPLACED_BY
109864001	193440001	SAME_AS
109871006	188247000	SAME_AS
10987541000119104	1187601005	SAME_AS
10987721000119102	1288042006	REPLACED_BY
10987961000119105	1288037003	REPLACED_BY
109886000	188157005	REPLACED_BY
109887009	188157005	REPLACED_BY
109953003	1339017006	REPLACED_BY
109956006	275446004	SAME_AS
10996491000119105	1217138002	SAME_AS
109965004	1217301006	REPLACED_BY
10996531000119105	786044002	SAME_AS
109981009	190818004	SAME_AS
109991000119100	416098002	REPLACED_BY
109996008	1260268001	REPLACED_BY
109999001	302855005	REPLACED_BY
110000005	445448008	REPLACED_BY
11001031000119107	1003532000	REPLACED_BY
11001071000119105	1003535003	REPLACED_BY
11003051000119102	1290076003	REPLACED_BY
110031003	326542006	SAME_AS
110046005	361112002	SAME_AS
11014961000119103	1003534004	REPLACED_BY
11018701000119109	429245005	SAME_AS
110339005	162020001	SAME_AS
110354004	235036003	SAME_AS
110478008	1303300002	REPLACED_BY
110482005	341000119102	REPLACED_BY
11057009	237101004	SAME_AS
11060002	385006	SAME_AS
11067004	125656008	REPLACED_BY
11093006	128105004	SAME_AS
110991004	13141002	SAME_AS
111000161106	3415004	SAME_AS
111004007	206445003	SAME_AS
111022005	4340003	SAME_AS
111023000	895649002	REPLACED_BY
111031005	765096001	SAME_AS
1111000119100	52298009	SAME_AS
111180003	416893007	REPLACED_BY
111181004	416675009	REPLACED_BY
111182006	416675009	REPLACED_BY
111185008	31928004	REPLACED_BY
111187000	8838005	REPLACED_BY
111194002	40275004	REPLACED_BY
111195001	35151000087100	REPLACED_BY
111198004	86487001	SAME_AS
111205000	19429009	REPLACED_BY
111207008	111204001	REPLACED_BY
111216007	18834007	REPLACED_BY
111217003	35524003	REPLACED_BY
111220006	201829007	REPLACED_BY
111221005	201847001	REPLACED_BY
111223008	21333004	REPLACED_BY
111225001	53417006	REPLACED_BY
111231003	81808003	REPLACED_BY
111233000	111235007	REPLACED_BY
111238009	61296009	SAME_AS
111249003	60168000	REPLACED_BY
111250003	203153007	SAME_AS
111251004	111253001	REPLACED_BY
111256009	72275000	SAME_AS
111258005	111259002	REPLACED_BY
111264003	111265002	REPLACED_BY
111272001	47135001	REPLACED_BY
111280008	398726004	REPLACED_BY
111284004	23685000	SAME_AS
111295005	275518003	SAME_AS
111313001	373413006	SAME_AS
111314007	275348004	SAME_AS
111320008	253536001	SAME_AS
11132002	212738009	SAME_AS
111333002	204821009	SAME_AS
111340001	204272007	SAME_AS
111346007	196427000	SAME_AS
111370006	266468003	SAME_AS
111380005	45744005	REPLACED_BY
111384001	725296006	REPLACED_BY
111392005	56871000	SAME_AS
111393000	267454002	SAME_AS
111399001	111400008	REPLACED_BY
111401007	33217001	SAME_AS
111402000	190631007	REPLACED_BY
111413002	9713002	REPLACED_BY
111415009	57593007	REPLACED_BY
11142000	773269009	SAME_AS
111421008	266609001	SAME_AS
111430000	1204037006	REPLACED_BY
111431001	609447002	REPLACED_BY
111432008	609457001	REPLACED_BY
111434009	54048003	REPLACED_BY
111439004	199425009	SAME_AS
111440002	816148008	REPLACED_BY
111441003	25749005	REPLACED_BY
111446008	609420007	REPLACED_BY
111450001	64229006	REPLACED_BY
111461009	1263720007	REPLACED_BY
111462002	1263616002	REPLACED_BY
111463007	1263615003	REPLACED_BY
111481005	427327003	SAME_AS
111486000	59394009	REPLACED_BY
111493001	230480006	SAME_AS
111498005	230381009	REPLACED_BY
111509007	371405004	SAME_AS
111537000	386034005	REPLACED_BY
111538005	386034005	REPLACED_BY
111540000	23606001	REPLACED_BY
111547002	111548007	REPLACED_BY
111552007	73211009	REPLACED_BY
111553002	73211009	REPLACED_BY
111555009	9414007	REPLACED_BY
111561007	275437005	SAME_AS
111563005	237785004	SAME_AS
111567006	237560005	SAME_AS
111578003	1187461004	REPLACED_BY
111582001	732965007	SAME_AS
111592009	111593004	REPLACED_BY
111594005	207687004	REPLACED_BY
111595006	207687004	SAME_AS
111596007	111597003	REPLACED_BY
111598008	207705002	REPLACED_BY
111599000	207705002	SAME_AS
111600002	111601003	REPLACED_BY
111602005	111603000	REPLACED_BY
111604006	111605007	REPLACED_BY
111606008	111605007	REPLACED_BY
111610006	111611005	REPLACED_BY
111612003	111613008	REPLACED_BY
111614002	111615001	REPLACED_BY
111616000	111617009	REPLACED_BY
111618004	82271004	REPLACED_BY
111619007	82271004	REPLACED_BY
111620001	82271004	REPLACED_BY
