rank,concept_id,problem_name,count,Available_Options
1,102499006,Fit and well (finding),1887,0
2,38341003,"Hypertensive disorder, systemic arterial (disorder)",601,3
4,279039007,Low back pain (finding),343,3
5,13644009,Hypercholesterolemia (disorder),320,2
6,61582004,Allergic rhinitis (disorder),230,2
9,390076006,Knee pain (finding),176,0
12,203132003,Shoulder pain (disorder),157,0
13,81680005,Neck pain (finding),153,2
14,201344004,Skin lesion (disorder),151,0
15,49727002,Cough (finding),129,2
16,54856001,Gastroesophageal reflux disease (disorder),129,0
17,235595009,Gastroesophageal reflux disease (disorder),123,6
19,139313005,Abdominal pain (finding),116,0
20,266569009,Benign prostatic hyperplasia (disorder),107,4
21,193462001,Insomnia (disorder),106,3
22,195967001,Asthma (disorder),103,2
23,237572004,Hypothyroidism (disorder),100,0
24,53741008,Coronary arteriosclerosis (disorder),99,2
25,154963001,Depression NOS (disorder),99,0
27,270478005,Insomnia (disorder),93,0
28,30989003,Knee pain (finding),90,2
31,14760008,Constipation (disorder),86,2
33,78275009,Obstructive sleep apnea syndrome (disorder),83,33
34,49218002,Hip pain (finding),81,16
35,95324001,Skin lesion (disorder),79,3
36,431309003,Acute urinary tract infection (disorder),72,3
37,40930008,Hypothyroidism (disorder),69,3
39,45326000,Shoulder pain (finding),68,9
40,47933007,Foot pain (finding),63,2
41,80313002,Palpitations (finding),61,4
42,139228007,Chest pain (finding),61,0
43,49650001,Dysuria (finding),60,3
44,312975006,Microalbuminuria (finding),59,17
46,49436004,Atrial fibrillation (disorder),57,4
47,64859006,Osteoporosis (disorder),53,2
48,166643006,Liver enzymes abnormal (finding),52,5
49,422587007,Nausea (finding),52,2
51,15167005,Alcohol abuse (disorder),49,3
52,84229001,Fatigue (finding),48,3
53,267036007,Dyspnea (finding),48,2
54,139490008,Headache (finding),48,0
55,139126000,Fatigue (finding),48,0
56,128045006,Cellulitis (disorder),46,2
57,34713006,Vitamin D deficiency (disorder),46,4
58,406506008,Attention deficit hyperactivity disorder (disorder),42,7
60,267038008,Edema (finding),41,3
61,237495005,Thyroid nodule (disorder),41,3
62,433144002,Chronic kidney disease stage 3 (disorder),39,22
63,90560007,Gout (disorder),39,2
64,279038004,Thoracic back pain (finding),38,26
65,62315008,Diarrhea (finding),37,15
68,40739000,Dysphagia (disorder),35,7
69,4473006,Migraine with aura (disorder),32,3
71,11049006,Cervical radiculitis (disorder),31,3
72,22722001,Idiopathic peripheral neuropathy (disorder),30,13
73,21522001,Abdominal pain (finding),30,2
74,25064002,Headache (finding),30,2
76,10601006,Pain in lower limb (finding),29,3
77,69494008,Eustachian tube disorder (disorder),29,2
80,166717003,Serum creatinine raised (finding),28,2
81,29857009,Chest pain (finding),28,2
83,18070006,Impacted cerumen (disorder),28,5
84,10743008,Irritable bowel syndrome (disorder),27,4
87,202882003,Plantar fasciitis (disorder),27,6
88,64586002,Carotid artery stenosis (disorder),26,5
89,300980002,Normocytic anemia (disorder),26,14
90,60862001,Tinnitus (finding),26,2
93,15188001,Hearing loss (disorder),25,2
94,1101000119103,Obstructive sleep apnea of adult (disorder),25,2
95,312894000,Osteopenia (disorder),23,4
96,254837009,Malignant tumor of breast (disorder),23,3
97,70153002,Hemorrhoids (disorder),23,2
98,32914008,Restless legs (disorder),22,10
99,309080005,Raised thyroid stimulating hormone level (finding),22,5
100,57406009,Carpal tunnel syndrome (disorder),22,10
101,445249002,Multiple nodules of lung (finding),22,4
102,6020002,Tinea pedis (disorder),22,3
105,35489007,Depressive disorder (disorder),21,2
107,66590003,Alcohol dependence (disorder),21,18
108,300955002,Pain in thumb (finding),21,12
109,398909004,Rosacea (disorder),21,14
110,60845006,Dyspnea on exertion (finding),21,3
111,3723001,Arthritis (disorder),20,3
112,427359005,Solitary nodule of lung (finding),20,5
113,297217002,Rib pain (finding),20,2
114,285365001,Pain in toe (finding),20,15
115,302914006,Barrett's esophagus (disorder),20,10
116,267718000,Age-related macular degeneration (disorder),20,4
117,128477000,Abscess (disorder),20,2
118,95898004,Tick bite (disorder),20,12
119,202480001,Elbow joint pain (finding),19,16
120,55300003,Cramp (finding),19,3
121,23986001,Glaucoma (disorder),19,3
125,422504002,Ischemic stroke (disorder),19,17
126,53057004,Hand pain (finding),18,2
127,47505003,Posttraumatic stress disorder (disorder),18,10
128,4009004,Lower urinary tract infectious disease (disorder),18,3
130,310496002,Moderate depression (disorder),18,14
131,166922008,Blood glucose abnormal (finding),18,8
132,394616008,Unsteady gait (finding),17,2
133,56097005,Migraine without aura (disorder),16,11
136,59282003,Pulmonary embolism (disorder),16,2
137,1539003,Acquired trigger finger (disorder),16,10
138,23056005,Sciatica (disorder),16,6
139,247373008,Ankle pain (finding),16,17
140,48867003,Bradycardia (finding),16,7
141,111541001,Benign paroxysmal positional vertigo (disorder),16,2
142,419642000,Carotid bruit (finding),16,2
143,129839007,At risk for falls (finding),16,3
144,64593003,Anemia (disorder),16,0
146,473021009,Secondary erectile dysfunction (disorder),15,2
147,9826008,Conjunctivitis (disorder),15,3
148,202482009,Wrist joint pain (finding),15,9
150,445098000,Acute abscess of skin and/or subcutaneous tissue (disorder),15,2
151,131078003,Decreased testosterone level (finding),14,3
153,56713002,Dysfunction of eustachian tube (disorder),14,10
154,12063002,Rectal hemorrhage (disorder),14,8
155,4556007,Gastritis (disorder),14,2
156,84828003,Leukopenia (disorder),14,12
157,134407002,Chronic back pain (finding),13,3
158,230690007,Cerebrovascular accident (disorder),13,2
159,89765005,Tobacco dependence syndrome (disorder),13,2
161,68235000,Nasal congestion (finding),13,2
163,449918009,Cramp in lower leg (finding),13,5
164,307496006,Diverticulitis (disorder),13,2
166,282825002,Paroxysmal atrial fibrillation (disorder),13,5
167,74576004,Acquired thrombocytopenia (disorder),13,8
168,14783006,Hyperbilirubinemia (disorder),13,3
169,409966000,Acute diarrhea (disorder),13,3
170,240539000,Plane wart (disorder),13,2
171,271809000,Peripheral edema (disorder),12,2
172,111583006,Leukocytosis (disorder),12,2
173,6456007,Supraventricular tachycardia (disorder),12,9
174,82423001,Chronic pain (finding),12,2
175,42343007,Congestive heart failure (disorder),12,3
176,26929004,Alzheimer's disease (disorder),12,2
177,56608008,Pain in wrist (finding),12,17
180,399957001,Peripheral arterial occlusive disease (disorder),12,29
181,30250000,Acute otitis externa (disorder),12,2
182,312124009,Bacterial urinary infection (disorder),12,4
183,156598006,Hip pain (finding),12,0
184,444613000,Adult attention deficit hyperactivity disorder (disorder),12,2
185,128613002,Seizure disorder (disorder),11,3
186,84089009,Hiatal hernia (disorder),11,10
188,33839006,Genital herpes simplex (disorder),11,2
190,34000006,Crohn's disease (disorder),11,2
192,427461000,Near syncope (disorder),11,2
193,425963007,Aneurysm of ascending aorta (disorder),11,2
194,424736006,Diabetic peripheral neuropathy (disorder),11,3
195,73430006,Sleep apnea (disorder),11,29
196,53726008,Acute conjunctivitis (disorder),11,17
197,197941005,Frank hematuria (disorder),11,7
198,271791002,Light-headedness (finding),11,0
199,287048003,Pain in right leg (finding),10,3
201,66931009,Hypercalcemia (disorder),10,2
202,41888000,Temporomandibular joint disorder (disorder),10,2
203,287046004,Pain in right arm (finding),10,6
204,396232000,Inguinal hernia (disorder),10,2
205,404223003,Deep venous thrombosis of lower extremity (disorder),10,2
206,89164003,Breast lump (finding),10,2
207,68566005,Urinary tract infectious disease (disorder),10,3
208,302215000,Thrombocytopenic disorder (disorder),10,3
209,299709002,Dental abscess (disorder),10,8
210,279079003,Dysesthesia (finding),10,5
211,202490009,Ankle joint pain (finding),10,17
212,2733002,Heel pain (finding),10,9
213,197940006,Microscopic hematuria (disorder),10,12
214,276433004,Insect bite - wound (disorder),10,4
215,63305008,Stricture of esophagus (disorder),10,20
216,49233005,Dyspnea (finding),10,0
217,72605008,Candidal vulvovaginitis (disorder),10,13
218,59265000,Paroxysmal dyspnea (finding),10,6
219,1201005,Benign essential hypertension (disorder),9,11
220,24693007,Fibromyositis (disorder),9,9
221,385006,Secondary peripheral neuropathy (disorder),9,2
223,160822004,Relationship problems (finding),9,3
224,190855004,Hypomagnesemia (disorder),9,8
225,72866009,Varicose veins of lower extremity (disorder),9,2
226,26165005,Increased bilirubin level (finding),9,8
227,247355005,Flank pain (finding),9,4
228,11679003,Radicular pain (finding),9,7
229,6077001,Foot-drop (finding),9,9
230,72934000,Candidiasis of vagina (disorder),9,21
231,443502000,Atherosclerosis of coronary artery (disorder),9,12
232,18876004,Pain in finger (finding),9,17
233,8957000,Coronary artery disease (disorder),9,0
234,236021006,Right inguinal hernia (disorder),9,2
237,139423000,Dysuria (finding),9,0
238,254838004,Carcinoma of breast (disorder),9,3
239,236022004,Left inguinal hernia (disorder),9,2
240,105485001,Family tension (finding),8,3
242,95655001,Ophthalmic migraine (disorder),8,3
243,267981009,Pain in thoracic spine (finding),8,6
244,69896004,Rheumatoid arthritis (disorder),8,3
247,44465007,Sprain of ankle (disorder),8,2
248,38936003,Abnormal blood pressure (finding),8,0
252,399490008,Adenocarcinoma of prostate (disorder),8,4
255,3135009,Otitis externa (disorder),8,2
257,282776008,Injury of toe (disorder),8,2
258,386661006,Fever (finding),8,3
259,309521004,Numbness of hand (finding),8,2
260,16932000,Nausea and vomiting (disorder),8,38
261,431737008,Acute lower urinary tract infection (disorder),8,18
